plot,type,for_type,fitness,gamma,lambda,rho,theta,phi
1,long,nice-hw,2154.86781039874,5.40428878409103,0.13273769380894,75.5084185930493,10.7512383606479,0.243904268430916
2,med,nice-hw,2216,3.4,0.094,30.8,5.03,0.12
2,med,nice-hw,2241,4.2,0.048,44.9,2.89,0.09
2,long,nice-hw,2158,6.8,0.064,45.4,21.6,0.12
2,local,nice-hw,2281.14092076352,2.9509685078262,0.03666339416571,22.5733563912145,17.8164497840403,0.068052041589672
3,long,nice-hw,1008.65348526666,2.29122193117048,0.042002576308719,33.1529092090928,7.18808597181459,0.02818525233306
4,long,sp-fr-eh,941.871863061924,0.909257656689346,0.047558195609576,11.1803540261462,8.5528263913238,0.104420791295837
5,long,sp-fr-eh,779.674221050588,2.60714228727955,0.071466646407932,39.77950829316,8.36296894121915,0.20284192029823
6,long,sp-fr-eh,230.65015435013,1.92831507325172,0.100607916712761,25.0118220895529,7.40476748347282,0.286732852458954
6,long,sp-fr-eh,250.467669244876,1.81505959873477,0.106839640871455,13.164487221354,6.13512176551235,0.106196989673374
6,long,sp-fr-eh,232.475543281998,3.54804526269436,0.079570785164833,13.3503841012716,5.79090829193592,0.027725264430046
6,long,sp-fr-eh,224.506606531079,1.28266976773739,0.16090339422226,13.6948620527983,11.6031042486429,0.253841713070869
